"","d1.53","d1.27","d1.18","d1.25","d1.29","d1.2","d1.16","d1.33","d1.13","d1.17","d1.50","d4.40","d1.6","d1.43","d1.5","d1.21","d1.49","d1.52","d1.41","d1.4","d1.38","d1.20","d1.3","d1.8","d1.26","d1.42","d4.34","d1.10","d1.31","d1.30","d1.32","d1.19","d1.47","d1.36","d1.11","d1.37","d1.9","d4.51","d1.39","d1.35","d1.45","d1.12","d1.22"
"hsa-miR-4277 hsa-mir-4277",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4278 hsa-mir-4278",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4279 hsa-mir-4279",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4280 hsa-mir-4280",0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4281 hsa-mir-4281",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4282 hsa-mir-4282",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4283 hsa-mir-4283-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4283 hsa-mir-4283-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4284 hsa-mir-4284",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"hsa-miR-4285 hsa-mir-4285",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4286 hsa-mir-4286",132,127,1,48,17,0,59,102,0,81,176,41,31,69,186,20,76,173,115,206,1009,138,63,36,281,300,135,0,2516,31,0,109,0,114,85,278,18,255,116,20,77,135,92
