"","d1.53","d1.27","d1.18","d1.25","d1.29","d1.2","d1.16","d1.33","d1.13","d1.17","d1.50","d4.40","d1.6","d1.43","d1.5","d1.21","d1.49","d1.52","d1.41","d1.4","d1.38","d1.20","d1.3","d1.8","d1.26","d1.42","d4.34","d1.10","d1.31","d1.30","d1.32","d1.19","d1.47","d1.36","d1.11","d1.37","d1.9","d4.51","d1.39","d1.35","d1.45","d1.12","d1.22"
"hsa-miR-6127 hsa-mir-6127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6129 hsa-mir-6129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6132 hsa-mir-6132",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-615-5p hsa-mir-615",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"hsa-miR-616-5p hsa-mir-616",17,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,23,0,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,8,0,3,0,0,15,0
"hsa-miR-6165 hsa-mir-6165",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"hsa-miR-617 hsa-mir-617",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-618 hsa-mir-618",204,214,5,25,80,52,50,129,53,128,70,155,70,41,93,111,96,87,199,390,109,16,65,23,13,290,149,4,137,27,2,123,49,60,127,467,73,138,70,3,95,95,85
"hsa-miR-619-5p hsa-mir-619",183,195,73,146,243,149,153,146,150,424,0,348,130,190,194,165,141,191,124,234,227,66,285,192,73,228,260,201,249,109,187,176,294,391,223,272,159,179,175,340,101,156,228
"hsa-miR-623 hsa-mir-623",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-624-5p hsa-mir-624",122,15,22,12,53,50,1,123,102,42,0,123,154,69,38,114,12,126,125,255,32,9,162,59,0,42,64,0,106,117,51,0,109,39,100,91,45,190,36,0,1,52,76
"hsa-miR-625-5p hsa-mir-625",5430,1712,646,190,5768,2627,982,3315,3379,6066,96,5555,2947,884,6089,2983,3433,4997,2135,19036,1552,237,3920,2907,270,1787,2083,288,2417,706,1007,824,670,1805,3851,3135,5583,3538,2780,397,727,3490,1175
"hsa-miR-627-5p hsa-mir-627",0,0,0,13,0,0,0,0,0,13,0,0,0,0,0,1,0,15,0,0,14,9,18,0,4,0,1,0,47,0,0,0,0,0,0,60,11,0,0,11,0,0,19
"hsa-miR-628-5p hsa-mir-628",21,1,0,0,0,0,2,0,0,15,0,0,24,0,0,1,0,0,16,22,0,3,0,41,0,1,0,0,0,0,0,1,0,0,0,19,0,13,0,0,0,0,0
"hsa-miR-629-5p hsa-mir-629",283,992,132,355,161,140,391,273,263,232,0,201,144,56,229,1016,98,472,197,552,2298,386,346,156,479,1188,236,29,3063,259,122,60,53,91,117,1952,115,455,125,29,0,461,631
"hsa-miR-631 hsa-mir-631",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-635 hsa-mir-635",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-638 hsa-mir-638",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-641 hsa-mir-641",85,60,85,7,77,67,2,24,38,34,0,23,7,6,33,51,91,16,51,81,31,6,31,47,2,26,85,0,64,38,0,1,2,20,48,85,64,19,23,1,0,109,7
"hsa-miR-642a-5p hsa-mir-642a",9,311,0,37,59,84,181,65,58,73,2,0,30,44,86,39,0,0,108,434,206,18,170,87,29,75,56,0,87,0,77,0,0,31,149,202,50,14,24,1,51,372,30
"hsa-miR-642b-5p hsa-mir-642b",0,17,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,62,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-647 hsa-mir-647",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-648 hsa-mir-648",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6499-5p hsa-mir-6499",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-650 hsa-mir-650",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6500-5p hsa-mir-6500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6501-5p hsa-mir-6501",0,22,0,4,0,0,1,0,15,19,0,0,11,0,0,0,0,11,0,38,0,0,0,0,0,0,38,0,26,0,0,0,0,0,13,44,4,0,11,12,0,0,33
"hsa-miR-6502-5p hsa-mir-6502",108,44,0,0,1,38,0,0,17,25,0,0,16,0,1,0,0,16,58,47,10,0,15,0,0,0,46,0,0,0,0,0,0,0,24,14,28,9,5,0,0,19,0
"hsa-miR-6503-5p hsa-mir-6503",14,0,0,0,0,20,15,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,20,19,0,13,0,0,0,0,0,0,0,0,17,21,0,0,0,24
"hsa-miR-6504-5p hsa-mir-6504",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6504-3p hsa-mir-6504",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6505-5p hsa-mir-6505",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6506-5p hsa-mir-6506",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6507-5p hsa-mir-6507",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6508-5p hsa-mir-6508",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6508-3p hsa-mir-6508",0,0,0,0,3,0,0,0,16,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"hsa-miR-6509-5p hsa-mir-6509",18,24,0,23,15,32,0,0,0,0,0,0,29,17,0,42,45,0,0,0,14,0,26,0,20,0,0,0,25,71,0,1,0,60,46,30,0,27,16,0,0,27,43
"hsa-miR-651-5p hsa-mir-651",38,39,30,0,16,15,29,30,36,33,84,0,28,6,92,14,47,125,27,63,6,0,0,0,9,46,33,0,95,41,0,52,0,0,22,14,9,45,28,10,16,0,23
"hsa-miR-6510-5p hsa-mir-6510",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6510-3p hsa-mir-6510",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6511a-5p hsa-mir-6511a-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6511a-5p hsa-mir-6511a-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6511a-5p hsa-mir-6511a-3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6511a-5p hsa-mir-6511a-4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6511b-5p hsa-mir-6511b-1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,48,0,9,0,0,0,0,0,0,1
"hsa-miR-6511b-5p hsa-mir-6511b-2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,48,0,9,0,0,0,0,0,0,1
"hsa-miR-6512-5p hsa-mir-6512",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6513-5p hsa-mir-6513",23,87,1,7,0,0,0,36,0,6,0,0,36,15,17,38,71,20,10,42,29,0,0,20,0,0,10,6,0,0,0,0,0,0,8,0,31,10,0,0,0,0,76
"hsa-miR-6514-5p hsa-mir-6514",32,0,0,0,11,0,1,15,23,15,0,20,27,10,25,30,37,0,24,22,14,0,13,20,0,7,19,0,11,17,37,0,66,29,28,22,14,18,10,0,1,26,37
"hsa-miR-6515-5p hsa-mir-6515",0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6515-3p hsa-mir-6515",2,0,0,6,0,0,0,0,0,0,0,1,1,11,0,22,0,0,0,24,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"hsa-miR-6516-5p hsa-mir-6516",2,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,12,0,0,0,0
"hsa-miR-652-5p hsa-mir-652",615,38,121,0,297,111,4,48,157,123,0,84,203,7,31,13,198,519,30,313,12,2,193,178,17,21,63,0,119,0,0,0,3,49,226,29,123,92,94,0,40,126,11
"hsa-miR-6529-5p hsa-mir-6529",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"hsa-miR-653-5p hsa-mir-653",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-654-5p hsa-mir-654",88,101,68,46,1027,919,4,1489,430,237,2,476,73,210,399,78,162,351,364,781,252,222,294,131,58,228,197,35,60,72,459,340,187,188,455,786,606,161,67,108,61,580,110
"hsa-miR-655-5p hsa-mir-655",0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-656-5p hsa-mir-656",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-659-5p hsa-mir-659",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,37,0,0,0,0,1
"hsa-miR-660-5p hsa-mir-660",1102,905,696,326,172,114,413,320,357,305,73,222,580,109,341,649,564,1090,499,669,596,186,343,212,620,1059,582,48,1075,610,107,111,119,354,776,933,144,954,310,18,113,274,1850
"hsa-miR-663a hsa-mir-663a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"hsa-miR-664a-5p hsa-mir-664a",163,177,17,29,44,146,3,234,48,25,2,54,39,21,32,40,30,69,27,151,43,67,27,17,58,22,0,0,143,61,0,65,0,0,87,173,44,113,75,12,33,53,59
"hsa-miR-664b-5p hsa-mir-664b",0,1,0,0,13,24,0,0,22,0,0,0,0,0,0,0,0,0,17,0,37,34,0,0,6,0,25,0,39,0,0,0,0,0,0,17,12,0,12,0,0,0,0
"hsa-miR-668-5p hsa-mir-668",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-670-5p hsa-mir-670",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-671-5p hsa-mir-671",294,396,312,19,136,203,39,0,267,191,0,87,190,46,138,125,90,173,88,282,361,8,174,41,182,145,173,1,563,49,58,73,1,76,114,338,160,0,270,138,0,0,123
"hsa-miR-6715b-5p hsa-mir-6715b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6716-5p hsa-mir-6716",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6717-5p hsa-mir-6717",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6718-5p hsa-mir-6718",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6720-5p hsa-mir-6720",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6721-5p hsa-mir-6721",0,30,0,0,0,37,1,38,0,0,0,21,0,0,80,119,0,0,12,0,4,90,11,32,32,0,0,0,25,29,0,0,0,0,0,0,0,0,0,12,0,0,26
"hsa-miR-6722-5p hsa-mir-6722",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6724-5p hsa-mir-6724-1",18,0,0,0,32,0,0,0,0,0,0,0,0,33,0,1,0,13,24,0,21,0,0,21,7,0,16,0,30,9,0,0,0,0,0,15,0,22,48,0,0,0,13
"hsa-miR-6724-5p hsa-mir-6724-2",18,0,0,0,32,0,0,0,0,0,0,0,0,33,0,1,0,13,24,0,21,0,0,21,7,0,16,0,30,9,0,0,0,0,0,15,0,22,48,0,0,0,13
"hsa-miR-6724-5p hsa-mir-6724-3",18,0,0,0,32,0,0,0,0,0,0,0,0,33,0,1,0,13,24,0,21,0,0,21,7,0,16,0,30,9,0,0,0,0,0,15,0,22,48,0,0,0,13
"hsa-miR-6724-5p hsa-mir-6724-4",18,0,0,0,32,0,0,0,0,0,0,0,0,33,0,1,0,13,24,0,21,0,0,21,7,0,16,0,30,9,0,0,0,0,0,15,0,22,48,0,0,0,13
"hsa-miR-6726-5p hsa-mir-6726",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,8,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,40,0,0,26,0
"hsa-miR-6727-5p hsa-mir-6727",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6728-5p hsa-mir-6728",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6729-5p hsa-mir-6729",0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6730-5p hsa-mir-6730",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6731-5p hsa-mir-6731",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6732-5p hsa-mir-6732",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6732-3p hsa-mir-6732",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
"hsa-miR-6733-5p hsa-mir-6733",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6734-5p hsa-mir-6734",43,0,0,0,40,0,15,59,0,0,0,38,0,9,32,50,0,10,23,34,35,34,22,0,15,16,0,0,18,55,69,65,0,36,0,0,0,5,19,0,0,0,18
"hsa-miR-6735-5p hsa-mir-6735",0,0,0,19,18,32,0,0,21,0,0,38,0,8,0,0,0,0,0,0,16,5,23,0,0,0,0,0,0,23,0,0,0,0,0,0,0,24,0,0,0,0,0
"hsa-miR-6736-5p hsa-mir-6736",0,0,0,0,16,0,0,0,0,0,0,0,0,12,0,0,0,11,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,16,0,0,8,0,0,0,0
"hsa-miR-6736-3p hsa-mir-6736",0,0,0,19,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6737-5p hsa-mir-6737",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6738-5p hsa-mir-6738",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"hsa-miR-6739-5p hsa-mir-6739",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6740-5p hsa-mir-6740",0,7,0,0,0,0,36,0,13,0,0,20,0,0,37,16,0,0,0,0,16,6,0,0,21,0,0,0,19,0,0,0,0,0,17,12,0,0,0,0,0,0,0
"hsa-miR-6741-5p hsa-mir-6741",13,0,0,0,7,0,0,58,24,21,0,0,25,14,45,30,0,0,14,81,27,15,16,14,0,12,0,0,18,1,79,37,0,88,0,45,41,5,17,31,0,51,0
"hsa-miR-6742-5p hsa-mir-6742",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
"hsa-miR-6743-5p hsa-mir-6743",0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6744-5p hsa-mir-6744",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6746-5p hsa-mir-6746",0,0,0,0,0,60,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"hsa-miR-6747-5p hsa-mir-6747",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6748-5p hsa-mir-6748",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6749-5p hsa-mir-6749",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-675-5p hsa-mir-675",0,0,0,0,0,34,0,0,0,11,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,29,0,0,0,0,0,0,0
"hsa-miR-6750-5p hsa-mir-6750",0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,43,0,1,0,0,0,0,10,0,0,0,19
"hsa-miR-6751-5p hsa-mir-6751",0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,33,0,0,0,0,0,0,13
"hsa-miR-6752-5p hsa-mir-6752",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"hsa-miR-6753-5p hsa-mir-6753",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6754-5p hsa-mir-6754",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6755-5p hsa-mir-6755",0,0,0,0,0,0,0,0,12,10,0,0,0,9,0,13,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"hsa-miR-6756-5p hsa-mir-6756",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6757-5p hsa-mir-6757",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
"hsa-miR-6758-5p hsa-mir-6758",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6759-5p hsa-mir-6759",0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
"hsa-miR-676-5p hsa-mir-676",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6760-5p hsa-mir-6760",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6761-5p hsa-mir-6761",0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6762-5p hsa-mir-6762",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6763-5p hsa-mir-6763",0,1,0,36,0,52,0,16,8,0,0,0,18,0,24,21,0,0,32,29,18,0,0,0,6,13,0,0,11,7,38,22,0,15,31,43,23,48,31,9,0,28,0
"hsa-miR-6764-5p hsa-mir-6764",12,0,13,0,42,1,1,41,22,13,0,16,32,13,21,60,14,14,59,39,9,0,103,33,3,35,21,4,12,25,0,0,58,16,31,14,43,27,11,11,0,45,50
"hsa-miR-6765-5p hsa-mir-6765",14,0,0,0,0,76,0,0,0,0,1,50,13,21,0,25,0,0,0,37,28,36,3,0,20,41,0,3,0,0,0,91,0,0,0,27,19,0,50,0,34,0,0
"hsa-miR-6766-5p hsa-mir-6766",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6767-5p hsa-mir-6767",0,15,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,8,0,0,0,0,0,9,11,16,0,14,27,0,62,0,0,0,48,0,22,20,0,0,34,0
"hsa-miR-6768-5p hsa-mir-6768",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6769a-5p hsa-mir-6769a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6769b-5p hsa-mir-6769b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6770-5p hsa-mir-6770-1",14,0,0,0,14,0,0,0,23,0,0,0,13,0,0,0,0,24,0,0,0,0,0,14,9,0,0,0,0,0,0,0,0,0,28,0,6,8,1,0,0,0,0
